EEG_Alpha,EEG_Beta,EEG_Theta,EEG_Gamma,Facial_Happy,Facial_Sad,Facial_Angry,Facial_Neutral,Facial_Surprised,Emotion
0.9936387129391655,0.2932854425485003,0.02837477330092364,0.8336236941280472,0.29528577449325766,0.5762767888626317,0.10700382163185329,0.5745076017807981,0.6755298861527484,Happy
0.7244338448301137,0.2579346049724224,0.8286926053724661,0.8570367228954539,0.23084004679889347,0.9587259309965169,0.1974485247371911,0.985556745199486,0.18871762686817972,Happy
0.9552794698926421,0.7739717328790057,0.718324010424193,0.5004594255086627,0.46677996774165886,0.7246186964820046,0.5660164021683065,0.42240048061124,0.19143033640551188,Surprised
0.7753774309211638,0.8064737839119049,0.6272941621912733,0.9492495735248021,0.475878642871281,0.08105093760260362,0.5404499831799858,0.6996697933246796,0.07105847939954035,Angry
0.7690347370066122,0.20067499892166396,0.7930691621875186,0.4615234474298885,0.3230787852132865,0.26601219799505615,0.024700158993129384,0.42978637420577004,0.45896111725510325,Angry
0.6194483657073284,0.5020876788419526,0.42082631447187013,0.09753987275903953,0.2185074584352915,0.8785274257928964,0.6132001678829947,0.5904650699241349,0.4599823059858126,Angry
0.42244745796952576,0.3243738658646107,0.8287639680945016,0.6949960734559107,0.6676810001925955,0.6597226219868926,0.009361406687464768,0.9263847484971045,0.3397025725951861,Neutral
0.0587505435129716,0.8502283254480943,0.22538350994389522,0.16946495004052586,0.6389725155202889,0.2665290437983622,0.014290910853744787,0.28296028627120207,0.5535308167274803,Angry
0.5808904767669245,0.8514100582752139,0.3029444790570658,0.16659375995372439,0.17959863064305848,0.31896009703663364,0.1134745646224129,0.7972698957926204,0.3736405036720628,Sad
0.01268139300842408,0.24990994050682647,0.1283699808713049,0.4633689470931298,0.39504226505404516,0.6883140975745374,0.281583412595806,0.529911797796983,0.8239977768360804,Neutral
0.7828218778699731,0.2595566839696637,0.7929987481286928,0.4247301468977417,0.42692145672381165,0.48524017590087376,0.2681886894303772,0.04640421652424076,0.7743869330616566,Surprised
0.594600845827762,0.24523832857218086,0.33233462025200733,0.9896047843133786,0.19509684378773196,0.027221211171251203,0.41225655518962645,0.8814082300519075,0.9747273046692042,Surprised
0.4667419495735565,0.6119977581119082,0.25317284610531643,0.32010534698680615,0.26620247061256275,0.7604504047784965,0.48117306633032997,0.32493215226379335,0.5904786883182896,Angry
0.28059055121348764,0.85558777869496,0.11584961987589915,0.026101209905447953,0.4249090374660772,0.6212317098868202,0.39241019865413107,0.6133530373200203,0.5855817461454813,Surprised
0.0552437514091636,0.09435706453848602,0.8686482512080504,0.6658318171721261,0.7987617730394749,0.7886486493513795,0.8096343026177077,0.6540741938738338,0.08594605284480339,Neutral
0.4321024516906512,0.12117786941386088,0.1944407103841881,0.7802614595984573,0.04796068093702288,0.4558936529480174,0.8249686505639796,0.7106120293681696,0.1335594237527591,Neutral
0.909140933524021,0.42822973953175725,0.4598179981482923,0.8496227715577268,0.038366760932358135,0.6757897834662759,0.4178939333811921,0.104177369445272,0.19145844855239558,Angry
0.0810219379581445,0.4689372832421872,0.0024051621956854286,0.11079526336799028,0.7022452891374408,0.5679038011765555,0.36501844680862494,0.03423345213245099,0.7891417870851524,Surprised
0.11288553000334522,0.8460027268303648,0.30066121203615825,0.7825674852712111,0.6369475050815305,0.04865202245731204,0.3011714282361141,0.7556769158028196,0.23616911832004206,Sad
